taxon species age
U12959_0_0 bison 0
U12958_0_0 bison 0
U12957_0_0 bison 0
U12956_0_0 bison 0
U12955_0_0 bison 0
U12948_0_0 bison 0
U12947_0_0 bison 0
U12946_0_0 bison 0
U12945_0_0 bison 0
U12944_0_0 bison 0
U12943_0_0 bison 0
U12941_0_0 bison 0
U12936_0_0 bison 0
U12935_0_0 bison 0
IB179_LC_14407_172 bison 14407
BS99_26_5 bison 26
BS100_29_5 bison 29
BS102_22_5 bison 22
BS105_F_28036_538 bison 28036
BS107_F_23338_405 bison 23338
BS108_F_25148_507 bison 25148
BS109_F_24752_474 bison 24752
BS111_F_25920_503 bison 25920
BS121_F_23050_392 bison 23050
BS123_BlR_1638_77 bison 1638
BS124_BlR_13734_67 bison 13734
BS125_F_32769_852 bison 32769
BS126_F_22778_353 bison 22778
BS130_BlR_10124_336 bison 10124
BS133_F_39219_1838 bison 39219
BS145_NS_14064_82 bison 14064
BS147_NS_33491_340 bison 33491
BS148_NS_7326_56 bison 7326
BS149_NS_49975_3033 bison 49975
BS150_NS_12463_74 bison 12463
BS151_NS_25879_207 bison 25879
BS163_LC_15418_135 bison 15418
BS164_LC_23319_207 bison 23319
BS165_LC_31728_228 bison 31728
BS170_YT_15189_126 bison 15189
BS172_LC_14530_155 bison 14530
BS173_NTC_3433_45 bison 3433
BS175_ICE_189_90 bison 189
BS177_NTC_3376_30 bison 3376
BS178_LC_21306_158 bison 21306
BS192_F_31555_353 bison 31555
BS193_NS_54973_5578 bison 54973
BS195_NS_34450_377 bison 34450
BS198_Y_2534_113 bison 2534
BS200_AB_145_37 bison 145
BS201_Y_15098_116 bison 15098
BS206_Sibh_28487_208 bison 28487
BS211_Sibh_47345_1795 bison 47345
BS216_NS_51433_4004 bison 51433
BS218_Si_17329_200 bison 17329
BS222_NWT_6977_65 bison 6977
BS224_AK_15286_132 bison 15286
BS233_SW_19815_112 bison 19815
BS235_BlR_47663_812 bison 47663
BS236_SW_23123_196 bison 23123
BS237_AB_13078_74 bison 13078
BS243_SW_42608_385 bison 42608
BS244_LC_31459_232 bison 31459
BS248_OCr_14184_133 bison 14184
BS249_F_44027_508 bison 44027
BS253_LC_14753_112 bison 14753
BS254_CHL_11969_101 bison 11969
BS258_F_26606_184 bison 26606
BS260_D_36116_312 bison 36116
BS261_LC_15046_120 bison 15046
BS262_D_34559_528 bison 34559
BS281_BlR_45428_564 bison 45428
BS284_Y_15298_125 bison 15298
BS287_BlR_53766_3094 bison 53766
BS289_BlR_2179_70 bison 2179
BS291_NS_54640_3130 bison 54640
BS292_NS_40991_686 bison 40991
BS311_BlR_14318_121 bison 14318
BS318_NS_14287_125 bison 14287
BS320_SI_54524_3181 bison 54524
BS321_AK_10773_101 bison 10773
BS323_SI_42831_370 bison 42831
BS327_D_36904_276 bison 36904
BS328_SIdy_37069_233 bison 37069
BS337_CHL_12219_95 bison 12219
BS340_NS_29303_251 bison 29303
BS342_CHL_12142_84 bison 12142
BS345_NS_44554_1062 bison 44554
BS348_CHL_12458_69 bison 12458
BS350_NS_43597_885 bison 43597
BS359_NTC_23916_185 bison 23916
BS364_NS_43685_971 bison 43685
BS387_NS_38708_551 bison 38708
BS390_NS_37007_470 bison 37007
BS392_NS_41536_712 bison 41536
BS393_NS_44598_1063 bison 44598
BS394_NS_42528_788 bison 42528
BS395_NS_40700_1300 bison 40700
BS396_NS_28375_237 bison 28375
BS397_NS_37762_498 bison 37762
BS412_Y_35875_270 bison 35875
BS414_BlR_5155_126 bison 5155
BS415_D_36194_976 bison 36194
BS417_AB_823_51 bison 823
BS418_China_31830_741 bison 31830
BS419_AB_8309_54 bison 8309
BS421_AB_9068_59 bison 9068
BS422_AB_822_52 bison 822
BS423_AB_5387_58 bison 5387
BS424_AB_216_86 bison 216
BS426_AB_7898_47 bison 7898
BS428_AB_7936_37 bison 7936
BS429_AB_7620_31 bison 7620
BS432_AB_8126_56 bison 8126
BS433_AB_12368_110 bison 12368
BS434_AB_715_26 bison 715
BS439_AB_6658_49 bison 6658
BS441_AB_1220_44 bison 1220
BS443_AB_39422_466 bison 39422
BS444_AB_615_37 bison 615
BS445_AB_450_53 bison 450
BS454_AB_337_51 bison 337
BS456_AB_125_30 bison 125
BS459_China_50597_2210 bison 50597
BS460_AB_12322_112 bison 12322
BS464_AB_5949_44 bison 5949
BS465_AB_7943_40 bison 7943
BS466_AB_3518_51 bison 3518
BS469_AB_305_24 bison 305
BS472_F_15412_127 bison 15412
BS477_D_39089_277 bison 39089
BS478_D_39836_261 bison 39836
BS490_BlR_2420_75 bison 2420
BS493_NS_55182_5568 bison 55182
BS495_NS_34987_363 bison 34987
BS497_NS_35399_537 bison 35399
BS498_NS_31210_284 bison 31210
BS499_NS_36784_452 bison 36784
BS500_NS_40878_529 bison 40878
BS503_BlR_2863_42 bison 2863
BS517_BlR_2669_71 bison 2669
BS560_AB_2898_36 bison 2898
BS564_Si_29377_158 bison 29377
BS569_AB_3903_93 bison 3903
BS570_AB_13158_281 bison 13158
BS571_SIdy_38309_229 bison 38309
BS605_NTC_24283_104 bison 24283
BS592_Ura_46908_440 bison 46908
BS660_Ura_34923_193 bison 34923
BS674_Ura_34474_197 bison 34474
BS708_Ura_50652_2042 bison 50652
BS713_Ura_36331_219 bison 36331
