taxon	species	age
AF271825	HCV	0
AF271826	HCV	0
AF271827	HCV	0
AF271828	HCV	0
AF271829	HCV	0
AF271830	HCV	0
AF271831	HCV	0
AF271832	HCV	0
AF271833	HCV	0
AF271834	HCV	0
AF271835	HCV	0
AF271836	HCV	0
AF271837	HCV	0
AF271838	HCV	0
AF271839	HCV	0
AF271840	HCV	0
AF271841	HCV	0
AF271842	HCV	0
AF271843	HCV	0
AF271844	HCV	0
AF271845	HCV	0
AF271846	HCV	0
AF271847	HCV	0
AF271848	HCV	0
AF271849	HCV	0
AF271850	HCV	0
AF271851	HCV	0
AF271852	HCV	0
AF271853	HCV	0
AF271854	HCV	0
AF271855	HCV	0
AF271856	HCV	0
AF271857	HCV	0
AF271858	HCV	0
AF271859	HCV	0
AF271860	HCV	0
AF271861	HCV	0
AF271862	HCV	0
AF271863	HCV	0
AF271864	HCV	0
AF271865	HCV	0
AF271866	HCV	0
AF271867	HCV	0
AF271868	HCV	0
AF271869	HCV	0
AF271870	HCV	0
AF271871	HCV	0
AF271872	HCV	0
AF271873	HCV	0
AF271874	HCV	0
AF271875	HCV	0
AF271876	HCV	0
AF271877	HCV	0
AF271878	HCV	0
AF271879	HCV	0
AF271880	HCV	0
AF271881	HCV	0
AF271882	HCV	0
AF271883	HCV	0
AF271884	HCV	0
AF271885	HCV	0
AF271886	HCV	0
AF271887	HCV	0
